Year,Games,Country,Type,Events,Athletes,Cost
1964,Tokyo 1964,Japan,Summer,,,0.282
1864,Innsbruck 1964,Austria,Winter,,,0.022
1968,Grenoble 1968,France,Winter,,,0.888
1972,Munich 1972,Germany,Summer,,,1.008
1972,Sapporo 1972,Japan,Winter,,,0.117
1976,Montreal 1976,Canada,Summer,,,6.093
1976,Innsbruck 1976,Austria,Winter,,,0.022
1980,Moscow 1980,Soviet Union,Summer,,,6.331
1980,Lake Placid 1980,United States,Winter,,,0.435
1984,Los Angeles 1984,United States,Summer,,,0.719
1988,Calgary 1988,Canada,Winter,,,1.109
1992,Barcelona 1992,Spain,Summer,,,9.687
1992,Albertville 1992,France,Winter,,,1.997
1994,Lillehammer 1994,Norway,Winter,,,2.228
1996,Atlanta 1996,United States,Summer,,,4.143
1998,Nagano 1998,Japan,Winter,,,2.227
2000,Sydney 2000,Australia,Summer,,,5.026
2002,Salt Lake City 2002,United States,Winter,,,2.52
2004,Athens 2004,Greece,Summer,,,2.942
2006,Torino 2006,Italy,Winter,,,4.366
2008,Beijing 2008,China,Summer,,,6.81
2010,Vancouver 2010,Canada,Winter,,,2.54
2012,London 2012,United Kingdom,Summer,,,14.957
2014,Sochi 2014,Russia,Winter,,,21.89
2016,Rio 2016,Brazil,Summer,,,4.557